0 -78.5035 -40.1437 123.376 0.999059 0.033626 0.0273759 4.3231 36.1045
1 -42.5206 -39.4782 122.306 0.97224 0.201092 0.119628 6.16024 30.8559
2 -12.5353 -35.4551 133.066 0.937721 -0.233155 -0.257524 3.28792 54.3978
3 38.47 -45.3434 120.825 0.998461 -0.0551419 0.00593379 4.47275 15.072
4 53.471 -44.3712 121.605 0.999563 -0.0230601 -0.0184782 4.43522 39.0426
5 92.465 -43.6137 121.31 0.99362 -0.0979033 -0.0559764 3.69714 18.4544
6 110.468 -46.2956 121.02 0.807777 0.584911 -0.0733093 3.58313 16.0323
7 122.467 -40.2229 118.393 0.927879 0.346303 -0.138259 3.04966 23.9514
8 143.476 -32.1798 115.058 0.901994 0.431335 0.0188882 2.79505 24.6186
9 164.467 -21.7431 116.097 0.947846 0.317479 -0.0282068 2.28284 7.42482
10 170.465 -24.1464 114.526 0.893038 -0.409778 0.185917 1.94265 31.2198
11 197.472 -38.2203 118.434 0.761198 -0.648257 -0.0184715 1.00902 12.7893
