0 -96.1527 100.147 153.797 0.984391 -0.154581 -0.0841408 4.58608 14.9761
1 -81.6622 98.4606 151.681 0.96826 -0.200555 -0.149168 3.7808 10.2485
2 -72.6532 97.6619 151.302 0.985645 -0.162284 -0.0465614 5.08933 15.7384
3 -57.6698 93.7076 149.659 0.99939 -0.0288695 -0.0196704 5.72975 45.0597
4 -12.67 92.3478 149.42 0.988294 -0.0238095 0.150694 5.63334 15.9501
5 2.325 95.591 167.15 0.912348 0.188015 -0.363691 5.69456 65.0842
6 62.3249 106.409 145.064 0.947979 -0.176059 -0.265213 4.63518 14.6475
7 74.3249 103.679 142.885 0.977368 -0.0596878 -0.202952 4.3161 23.2577
8 95.3269 102.638 139.065 0.831658 -0.530762 0.163208 3.50477 7.14013
9 107.336 109.996 140.328 0.689128 0.649537 -0.321253 3.02654 45.2552
