0 0 -96.1767 95.4107 182.339 -0.893694 -0.240177 -0.378979 2.17153 11.8462
1 0 -75.6092 98.957 190.443 0.996606 -0.0776441 -0.0273594 1.60325 3.47992
2 0 -59.7467 98.1687 191.612 -0.99437 0.0258894 0.102757 1.45771 9.09387
2 1 -48.3729 108.123 187.216 -0.74669 -0.0994845 -0.65769 2.75649 23.6029
3 0 -42.2522 95.703 187.174 0.441123 0.000900271 -0.897446 2.66615 15.8262
3 1 -38.839 94.4301 193.569 -0.107978 -0.530386 0.840851 1.05673 13.0971
3 2 -33.7624 99.1188 195.627 0.410173 -0.871009 -0.270372 1.22177 2.78019
3 3 -23.8953 105.579 187.043 -0.998158 -0.0148336 0.0588207 1.99084 18.0361
4 0 -2.401 102.611 183.894 -0.986707 0.0899771 -0.135325 4.89165 21.0432
5 0 0.23 106.613 207.709 0.270207 0.83742 0.475096 3.68129 14.0321
5 1 37.417 104.417 211.391 -0.605262 0.795487 0.0292946 1.13356 4.5188
5 2 49.356 101.686 201.116 -0.987772 -0.0446461 -0.149379 4.37021 50.0714
5 3 66.153 99.5908 198.754 -0.935709 0.0548411 0.348484 2.47839 24.0716
5 4 76.7 105.789 192.138 0.279638 0.737622 -0.614586 0.959369 4.21622
5 5 76.881 109.998 186.172 -0.690329 0.699998 0.18289 1.30536 7.69452
5 6 77.293 102.231 186.847 0.087736 -0.963896 -0.251411 0.380638 4.94275
6 0 80.479 107.966 203.253 -0.114448 -0.863598 0.49102 1.99217 3.92208
6 1 87.328 105.459 190.677 -0.714548 -0.466557 0.521293 1.53537 11.5978
7 0 119.788 106.092 172.033 0.967807 -0.12689 -0.217368 1.16423 9.11424
7 1 127.086 101.293 181.224 -0.829627 -0.471344 0.299255 3.92867 12.6993
7 2 132.259 89.5858 172.091 -0.551773 0.320821 0.769818 2.65398 8.52147
7 3 135.06 108.125 166.122 -0.816993 0.257066 -0.516178 1.06989 9.18327
8 0 136.598 98.961 176.776 0.379755 0.846016 -0.374223 1.40479 13.2919
8 1 137.161 97.9036 165.527 -0.308861 -0.900335 0.306597 1.10064 6.25316
8 2 139.138 97.0942 160.926 0.564016 0.672899 -0.478637 3.02411 23.8646
8 3 143.492 88.4072 170.306 0.508534 0.796989 -0.325885 2.43105 6.57197
8 4 149.376 99.472 177.115 -0.724501 0.200243 0.659546 0.971467 4.73738
8 5 160.749 119.539 146.541 -0.526608 -0.775693 0.347829 1.11851 7.98418
9 0 175.125 110.516 174.37 -0.0538144 0.981824 -0.182002 1.64921 24.9122
